Order	Gordon_Parcel	Hemisphere	Network	Network_Parcel#
1	11	L	None	None_1
2	18	L	None	None_2
3	19	L	None	None_3
4	73	L	None	None_4
5	115	L	None	None_5
6	118	L	None	None_6
7	119	L	None	None_7
8	120	L	None	None_8
9	121	L	None	None_9
10	122	L	None	None_10
11	123	L	None	None_11
12	124	L	None	None_12
13	125	L	None	None_13
14	128	L	None	None_14
15	129	L	None	None_15
16	133	L	None	None_16
17	134	L	None	None_17
18	135	L	None	None_18
19	142	L	None	None_19
20	144	L	None	None_20
21	159	L	None	None_21
22	172	R	None	None_22
23	178	R	None	None_23
24	179	R	None	None_24
25	280	R	None	None_25
26	281	R	None	None_26
27	282	R	None	None_27
28	283	R	None	None_28
29	284	R	None	None_29
30	285	R	None	None_30
31	286	R	None	None_31
32	287	R	None	None_32
33	288	R	None	None_33
34	289	R	None	None_34
35	291	R	None	None_35
36	292	R	None	None_36
37	296	R	None	None_37
38	297	R	None	None_38
39	300	R	None	None_39
40	301	R	None	None_40
41	302	R	None	None_41
42	303	R	None	None_42
43	304	R	None	None_43
44	305	R	None	None_44
45	306	R	None	None_45
46	312	R	None	None_46
47	314	R	None	None_47
48	1	L	Default	Default_1
49	4	L	Default	Default_2
50	6	L	Default	Default_3
51	25	L	Default	Default_4
52	26	L	Default	Default_5
53	44	L	Default	Default_6
54	94	L	Default	Default_7
55	114	L	Default	Default_8
56	116	L	Default	Default_9
57	117	L	Default	Default_10
58	126	L	Default	Default_11
59	127	L	Default	Default_12
60	145	L	Default	Default_13
61	146	L	Default	Default_14
62	150	L	Default	Default_15
63	151	L	Default	Default_16
64	152	L	Default	Default_17
65	154	L	Default	Default_18
66	156	L	Default	Default_19
67	157	L	Default	Default_20
68	162	R	Default	Default_21
69	165	R	Default	Default_22
70	184	R	Default	Default_23
71	186	R	Default	Default_24
72	200	R	Default	Default_25
73	220	R	Default	Default_26
74	225	R	Default	Default_27
75	257	R	Default	Default_28
76	259	R	Default	Default_29
77	278	R	Default	Default_30
78	279	R	Default	Default_31
79	290	R	Default	Default_32
80	315	R	Default	Default_33
81	316	R	Default	Default_34
82	321	R	Default	Default_35
83	322	R	Default	Default_36
84	323	R	Default	Default_37
85	324	R	Default	Default_38
86	325	R	Default	Default_39
87	326	R	Default	Default_40
88	331	R	Default	Default_41
89	13	L	ParietoOccip	ParietoOccip_1
90	14	L	ParietoOccip	ParietoOccip_2
91	130	L	ParietoOccip	ParietoOccip_3
92	143	L	ParietoOccip	ParietoOccip_4
93	174	R	ParietoOccip	ParietoOccip_5
94	294	R	ParietoOccip	ParietoOccip_6
95	295	R	ParietoOccip	ParietoOccip_7
96	313	R	ParietoOccip	ParietoOccip_8
97	7	L	FrontoParietal	FrontoParietal_1
98	9	L	FrontoParietal	FrontoParietal_2
99	24	L	FrontoParietal	FrontoParietal_3
100	78	L	FrontoParietal	FrontoParietal_4
101	96	L	FrontoParietal	FrontoParietal_5
102	108	L	FrontoParietal	FrontoParietal_6
103	109	L	FrontoParietal	FrontoParietal_7
104	148	L	FrontoParietal	FrontoParietal_8
105	149	L	FrontoParietal	FrontoParietal_9
106	167	R	FrontoParietal	FrontoParietal_10
107	168	R	FrontoParietal	FrontoParietal_11
108	170	R	FrontoParietal	FrontoParietal_12
109	182	R	FrontoParietal	FrontoParietal_13
110	240	R	FrontoParietal	FrontoParietal_14
111	260	R	FrontoParietal	FrontoParietal_15
112	261	R	FrontoParietal	FrontoParietal_16
113	272	R	FrontoParietal	FrontoParietal_17
114	273	R	FrontoParietal	FrontoParietal_18
115	276	R	FrontoParietal	FrontoParietal_19
116	277	R	FrontoParietal	FrontoParietal_20
117	319	R	FrontoParietal	FrontoParietal_21
118	320	R	FrontoParietal	FrontoParietal_22
119	327	R	FrontoParietal	FrontoParietal_23
120	328	R	FrontoParietal	FrontoParietal_24
121	29	L	Salience	Salience_1
122	83	L	Salience	Salience_2
123	183	R	Salience	Salience_3
124	247	R	Salience	Salience_4
125	21	L	CinguloOperc	CinguloOperc_1
126	22	L	CinguloOperc	CinguloOperc_2
127	27	L	CinguloOperc	CinguloOperc_3
128	28	L	CinguloOperc	CinguloOperc_4
129	34	L	CinguloOperc	CinguloOperc_5
130	40	L	CinguloOperc	CinguloOperc_6
